"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @FSATruth: Syria doesn’t matter to the United States: https://t.co/rb7IYPwy0F @michaeldweiss #Syria #ISIS #Kobani #IS",FALSE,0,NA,2014-10-11 16:12:22,FALSE,NA,"520970168483479552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaeldweiss",3,TRUE,FALSE,NA,NA
"RT @turdeau: Real leadership is making a decision for political gain instead of the obvious one good vs evil. #isis #cdnpoli",FALSE,0,NA,2014-10-11 16:12:21,FALSE,NA,"520970166130462720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","checkerboard92",18,TRUE,FALSE,NA,NA
"RT @RT_com: Pregnant Austrian teen who joined #ISIS now 'wants to return home', says she 'made a mistake' http://t.co/E1MOqXClee http://t.c…",FALSE,0,NA,2014-10-11 16:12:19,FALSE,NA,"520970156303187969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaenzVarona",572,TRUE,FALSE,NA,NA
"RT @kurdistannews24: Breaking news: #YPG Kurdish forces killed #ISIS Top commander  Ebu Waleed Al Tunsi just few min ago in #kobane http://…",FALSE,0,NA,2014-10-11 16:12:18,FALSE,NA,"520970154289954816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrizlyLuc",420,TRUE,FALSE,NA,NA
"Our thanks to @NortheastShory  for calling in and discussing Canada's response to #isis last night",FALSE,0,NA,2014-10-11 16:12:16,FALSE,NA,"520970145213075456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LegalViewpoint",0,FALSE,FALSE,NA,NA
"RT @Shiyoki87: innocent #child - victim of the tyranny #ISIS May god protect you all #TwitterKurds fuckings turks #isis http://t.co/mFiLRTJ…",FALSE,0,NA,2014-10-11 16:12:15,FALSE,NA,"520970143040798720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TattooQ",4,TRUE,FALSE,NA,NA
"Fantastic event today tackling #ISIS propaganda. .Great turnout ..Here's the group signing declaration refuting ISIS http://t.co/9DLP5oaCiY",FALSE,0,NA,2014-10-11 16:12:15,FALSE,NA,"520970142822723584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhamid_Pathan",0,FALSE,FALSE,NA,NA
"RT @WNEW: Twitter CEO: #ISIS militants have threatened him, employees in response to shutting down group’s accounts. http://t.co/HOQvCFBbCd",FALSE,0,NA,2014-10-11 16:12:15,FALSE,NA,"520970139173654528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckyT3",2,TRUE,FALSE,NA,NA
"RT @Groovy_Bob: MT @ForgeRat #ISIS tank destroyed by the heroic #YPG in #Kobane https://t.co/YU5HpFSXcm … See how they cower behind tank(s)…",FALSE,0,NA,2014-10-11 16:12:14,FALSE,NA,"520970137160400896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ForgeRat",1,TRUE,FALSE,NA,NA
"RT @Firas_Atraqchi: US State Dept. says #Anbar calling for US troops to take on #ISIL #ISIS there... #Iraq in disarray",FALSE,0,NA,2014-10-11 16:12:13,FALSE,NA,"520970134643814400",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","betsy_hiel",3,TRUE,FALSE,NA,NA
